               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11659,            0.070886,            0.046545,             0.02448,            0.010596,           0.0020541,          0.00046907,             0.11089,            0.066439,            0.041251,             0.00012,             0.00012,             0.09892
                   1,             0.11004,            0.079049,            0.038142,            0.018981,            0.039686,            0.007697,            0.001547,             0.10254,            0.071475,            0.031545,          0.00024999,          0.00024999,             0.09775
                   2,              0.1029,            0.079499,            0.030078,            0.045467,             0.16126,            0.032019,           0.0062175,            0.093237,            0.071761,            0.022919,          0.00037996,          0.00037996,             0.09658
                   3,            0.092673,            0.078617,            0.022485,              0.3821,             0.21555,             0.11996,            0.025903,            0.086529,            0.078168,            0.015059,          0.00050989,          0.00050989,             0.09541
                   4,            0.085804,            0.068221,            0.015024,             0.60547,             0.30149,             0.10432,            0.022579,             0.08654,            0.090205,           0.0077213,          0.00063975,          0.00063975,             0.09424
                   5,            0.079376,            0.060685,              0.0109,             0.72237,             0.25361,             0.19884,             0.06046,            0.070391,            0.062706,            0.005438,          0.00076953,          0.00076953,             0.09307
                   6,            0.078252,            0.060978,           0.0087189,             0.76316,             0.29709,             0.48356,             0.15193,            0.064086,            0.054445,            0.004409,           0.0008992,           0.0008992,            0.091899
                   7,            0.076575,            0.056597,           0.0073189,             0.84114,             0.44095,             0.58505,             0.21703,            0.066464,            0.048245,           0.0041657,           0.0010288,           0.0010288,            0.090729
                   8,            0.075948,            0.054859,           0.0067334,             0.61983,             0.65835,             0.53812,             0.19762,            0.059328,            0.044637,           0.0040367,           0.0011582,           0.0011582,            0.089558
                   9,            0.074274,            0.052815,           0.0063497,             0.67331,             0.65494,             0.55274,             0.22972,            0.057645,            0.043495,           0.0035996,           0.0012874,           0.0012874,            0.088387
                  10,            0.072097,            0.051771,            0.005582,             0.56496,             0.64398,             0.50315,             0.16596,            0.056677,            0.043086,           0.0034985,           0.0014165,           0.0014165,            0.087216
                  11,            0.070402,            0.049856,           0.0051935,              0.4032,             0.79569,              0.5509,             0.24738,             0.05814,            0.043617,           0.0028752,           0.0015454,           0.0015454,            0.086045
                  12,            0.069647,            0.052601,           0.0048451,             0.45525,             0.80176,             0.74612,              0.3409,            0.052494,            0.046454,           0.0029051,            0.001674,            0.001674,            0.084874
                  13,             0.06773,            0.049918,           0.0045274,             0.42543,             0.81445,             0.59207,              0.2655,            0.054781,            0.040659,           0.0029949,           0.0018025,           0.0018025,            0.083702
                  14,            0.065503,            0.050713,           0.0041787,             0.48882,             0.80505,             0.70015,             0.27397,            0.054024,             0.04163,           0.0026386,           0.0019306,           0.0019306,            0.082531
                  15,            0.065441,            0.051752,           0.0040786,             0.50138,             0.79958,             0.77931,             0.36979,             0.04851,            0.040986,           0.0027483,           0.0020585,           0.0020585,            0.081359
                  16,            0.063519,             0.04763,           0.0039216,             0.73962,             0.61671,              0.7218,             0.28803,            0.051282,            0.044302,           0.0026539,           0.0021861,           0.0021861,            0.080186
                  17,             0.06135,            0.048844,           0.0038664,             0.58295,             0.79674,             0.82452,               0.413,            0.043167,            0.039779,           0.0029375,           0.0023134,           0.0023134,            0.079013
                  18,            0.060632,            0.046532,           0.0037061,             0.40926,             0.92444,               0.786,             0.36712,            0.052798,            0.039306,           0.0023765,           0.0024404,           0.0024404,             0.07784
                  19,            0.061081,            0.049413,           0.0034151,             0.43917,             0.95211,             0.80331,             0.38586,            0.050682,            0.039351,           0.0023182,            0.002567,            0.002567,            0.076667
                  20,            0.058177,            0.048602,           0.0034241,             0.63106,             0.90937,             0.87293,             0.38475,             0.04786,            0.038599,           0.0024169,           0.0026933,           0.0026933,            0.075493
                  21,             0.05439,            0.044217,            0.003431,             0.52549,             0.90478,             0.78165,             0.31623,            0.042515,            0.037101,           0.0022677,           0.0028191,           0.0028191,            0.074319
                  22,            0.055719,            0.045572,           0.0033013,             0.67461,             0.92273,              0.9342,             0.48607,             0.04435,            0.036447,           0.0023542,           0.0029446,           0.0029446,            0.073145
                  23,            0.056097,            0.045006,           0.0031499,             0.66115,             0.92152,             0.87582,             0.33166,            0.038398,            0.035696,           0.0024116,           0.0030696,           0.0030696,             0.07197
                  24,            0.051966,            0.044507,           0.0030672,             0.73042,             0.93521,             0.94971,              0.5049,            0.042805,            0.036532,           0.0020675,           0.0031942,           0.0031942,            0.070794
                  25,            0.050138,            0.043144,           0.0028357,             0.56156,             0.91351,             0.76622,             0.32035,            0.042721,            0.035647,           0.0019828,           0.0033183,           0.0033183,            0.069618
                  26,             0.05094,            0.043655,           0.0028912,             0.64847,             0.93613,             0.88273,             0.48503,            0.041856,            0.035389,           0.0022759,            0.003442,            0.003442,            0.068442
                  27,            0.051846,            0.047148,           0.0027402,             0.73317,             0.89107,             0.89803,             0.49384,            0.042473,            0.036227,            0.002145,           0.0035651,           0.0035651,            0.067265
                  28,            0.050196,            0.043491,           0.0026047,             0.77264,              0.9049,             0.92399,             0.50405,            0.043428,            0.035049,           0.0019019,           0.0036878,           0.0036878,            0.066088
                  29,            0.050567,              0.0437,           0.0026931,             0.83089,              0.9242,             0.93152,             0.49037,            0.039248,            0.036185,           0.0019119,           0.0038099,           0.0038099,             0.06491
